id	name	sex	birth	title	height	weight	salary
2021A001	王天赐	男	1972/4/8	教授	165	66	30.1
2021A002	高琪琪	女	1973/5/12	副教授	163	65	23.8
2021A003	朱德宗	男	1995/7/18	讲师	187	87	9.7
2021A004	杨子琪	女	1985/1/8	讲师	166	67	12.8
2021A005	陈晓东	男	1982/3/7	副教授	166	69	24.3
2021A006	吴天昊	男	1975/11/27	教授	188	89	28.1
2021A007	阳春丽	女	1997/12/29	讲师	173	69	14.3
2021A008	宋晓云	男	1975/8/20	副教授	152	57	15.3
2021A009	宋甜甜	女	1985/8/19	讲师	158	62	16.4
2021A010	李洪田	男	1991/1/2	讲师	167	71	10.3
2021A011	王志东	男	1992/3/7	讲师	175	67	10.8
2021A012	张天鸿	女	1992/3/6	讲师	174	70	10.2
2021A013	孙德胜	男	1985/9/21	副教授	169	73	16.4
2021A014	高甜甜	女	1993/5/12	助教	166	64	8.9
2021A015	周欣欣	女	1986/10/24	教授	165	74	25.2
2021A016	唐年利	男	1984/6/15	副教授	172	70	17.5
2021A017	孙火德	男	1976/9/22	教授	176	77	27.8
2021A018	杨婷婷	女	1977/12/30	教授	156	55	35.1
2021A019	高德天	男	1973/5/12	教授	178	77	34.5
2021A020	周超	男	1986/10/24	副教授	160	61	14.9
2021A021	阳德	男	1975/9/10	副教授	154	54	15.1
2021A022	王子瑞	男	1982/3/7	副教授	163	62	20.3
2021A023	宋田田	女	1995/8/20	助教	155	53	7.7
2021A024	王明	男	1981/3/4	副教授	158	59	21.7
2021A025	刘明	女	1992/4/9	助教	159	57	8.2
2021A026	高明	男	1983/5/12	副教授	148	45	16.4
2021A027	李明	女	1991/1/1	助教	163	61	8.3
2021A028	高度	女	1973/5/12	讲师	165	70	11.4
2021A029	吴启德	女	1967/11/27	教授	158	61	36.3
2021A030	欧阳云	女	1963/5/11	教授	175	85	27.4
2021A031	龙洪喜	男	1984/6/15	副教授	177	74	13.2
2021A032	彭田	男	1985/8/18	副教授	160	62	14.3
2021A033	李利	男	1984/6/15	副教授	172	75	16.4
2021A034	张欣欣	女	1982/3/6	副教授	162	71	20.1
2021A035	丁欣欣	女	1976/10/25	教授	167	81	28.9
2021A036	孙明	男	1985/9/21	讲师	176	77	9.6
2021A037	周甜甜	女	1976/10/24	副教授	169	68	24.9
2021A038	王晓丽	女	1975/12/4	教授	168	69	37.2
2021A039	甄欢欢	女	1976/9/22	教授	166	71	32.3
